Feature ID,Taxon,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,FullName
9a22a97a16ae11bf6060f302e88942ec,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__Varibaculum_sp.,0.8458798992936089,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum_sp.,g_Varibaculum
acaed5d4a5c686f7e80d28fb5d6061a0,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus; s__Anaerococcus_hydrogenalis,0.9998775838502206,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerococcus,Anaerococcus_hydrogenalis,g_Anaerococcus
b6d75fdc28dedc686d59d4334db5251b,d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Ureaplasma; s__Ureaplasma_parvum,0.9998764287870922,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma_parvum,g_Ureaplasma
648d1d6ed7d03b8e3c086eec53f22097,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium_mcbrellneri,0.9999859577827528,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium_mcbrellneri,g_Brevibacterium
170f079cfc70a3538de7c270658d225e,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002; s__uncultured_bacterium,0.8638686407082246,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,uncultured_bacterium,g_UCG-002
7fbbcc42272ff81adb779ff4020d1115,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__Veillonellaceae_bacterium,0.9999781292434587,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,Veillonellaceae_bacterium,g_Dialister
c21a9f7efb8e3b2925d6b95ef09c12c9,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Ezakiella; s__Finegoldia_magna,0.7442077819825655,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Ezakiella,Finegoldia_magna,g_Ezakiella
331b1cf36efba604476e45539e5acdbe,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus,0.9944987722985984,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,g_Paracoccus
03f7563fb688962d9dc371e66af781a3,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,0.9999999999991072,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,g_Streptococcus
c5b11e2e17c167c90aaad754856b3980,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella; s__uncultured_bacterium,0.9979874805375292,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,uncultured_bacterium,g_Veillonella
5958bb761790eb226165aae46734ecc5,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Finegoldia; s__Finegoldia_magna,0.9349735520030876,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Finegoldia,Finegoldia_magna,g_Finegoldia
0ce56b046812673eb037a60f86cd0adf,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__W5053; s__unidentified_marine,0.9999999972458936,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,W5053,unidentified_marine,g_W5053
a08601c65740196ea0450f3024291e7d,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus; s__Anaerococcus_lactolyticus,0.9999076186537642,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerococcus,Anaerococcus_lactolyticus,g_Anaerococcus
a5c92fda2ed5591a88bcc3f0bd9c46cc,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__metagenome,0.9850102183189688,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,metagenome,g_Hyphomicrobium
de7bb691cdd9219e263238000adf7d09,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas,0.999988199410506,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,g_Stenotrophomonas
21ce224ab4c010a39c7ba4b261da1747,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_disiens,0.999999929323496,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_disiens,g_Prevotella
8b40291f719f6ebfc13d130dad3921e9,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus; s__uncultured_Peptostreptococcus,0.9649284217896704,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerococcus,uncultured_Peptostreptococcus,g_Anaerococcus
b558e2884f5b730966f66feba13381ff,d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales,0.875324975099628,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,,g_Saccharimonadales
